U$38 41.27 31.75   0 FIDUCIAL_1MM FIDUCIAL_1MM
U$64 238.28 66.73   0 FIDUCIAL_1MM FIDUCIAL_1MM
USBJACK 15.50 91.01 180  USB-C-16P
