U$13 155.58 12.70  90 1N4148WS SOD-323SLIM
U$14 174.63 12.70  90 1N4148WS SOD-323SLIM
U$15 279.43 85.92 270 1N4148WS SOD-323SLIM
U$17 41.27 12.70  90 1N4148WS SOD-323SLIM
U$18 250.83 12.70  90 1N4148WS SOD-323SLIM
U$19 231.78 50.80  90 1N4148WS SOD-323SLIM
U$20 222.25 31.75  90 1N4148WS SOD-323SLIM
U$21 60.33 12.70  90 1N4148WS SOD-323SLIM
U$22 295.28 66.67 270 1N4148WS SOD-323SLIM
U$23 231.78 12.70  90 1N4148WS SOD-323SLIM
U$24 250.83 50.80  90 1N4148WS SOD-323SLIM
U$26 260.35 31.75  90 1N4148WS SOD-323SLIM
U$27 193.68 12.70  90 1N4148WS SOD-323SLIM
U$28 288.93 50.80  90 1N4148WS SOD-323SLIM
U$29 79.38 12.70  90 1N4148WS SOD-323SLIM
U$30 212.73 12.70  90 1N4148WS SOD-323SLIM
U$31 269.88 50.80  90 1N4148WS SOD-323SLIM
U$32 31.70 11.85 180 1N4148WS SOD-323SLIM
U$33 279.40 31.75  90 1N4148WS SOD-323SLIM
U$39 12.70 76.20  90 FIDUCIAL_1MM FIDUCIAL_1MM
U$54 98.43 12.70  90 1N4148WS SOD-323SLIM
U$59 117.48 12.70  90 1N4148WS SOD-323SLIM
U$62 26.48 48.95   0 FIDUCIAL_1MM FIDUCIAL_1MM
U$63 136.53 12.70  90 1N4148WS SOD-323SLIM
U$68 98.43 69.85  90 1N4148WS SOD-323SLIM
U$69 98.43 50.80  90 1N4148WS SOD-323SLIM
U$70 50.80 31.75  90 1N4148WS SOD-323SLIM
U$71 101.23 88.90  90 1N4148WS SOD-323SLIM
U$94 117.48 88.90  90 1N4148WS SOD-323SLIM
U$95 117.48 69.85  90 1N4148WS SOD-323SLIM
U$96 117.48 50.80  90 1N4148WS SOD-323SLIM
U$97 69.85 31.75  90 1N4148WS SOD-323SLIM
U$99 136.53 88.90  90 1N4148WS SOD-323SLIM
U$100 136.53 69.85  90 1N4148WS SOD-323SLIM
U$101 136.53 50.80  90 1N4148WS SOD-323SLIM
U$102 88.90 31.75  90 1N4148WS SOD-323SLIM
U$103 155.58 88.90  90 1N4148WS SOD-323SLIM
U$104 155.58 69.85  90 1N4148WS SOD-323SLIM
U$105 155.58 50.80  90 1N4148WS SOD-323SLIM
U$106 127.00 31.75  90 1N4148WS SOD-323SLIM
U$108 174.63 69.85  90 1N4148WS SOD-323SLIM
U$109 174.63 50.80  90 1N4148WS SOD-323SLIM
U$110 146.05 31.75  90 1N4148WS SOD-323SLIM
U$111 174.63 88.90  90 1N4148WS SOD-323SLIM
U$134 222.68 85.92 270 1N4148WS SOD-323SLIM
U$135 288.93 12.70  90 1N4148WS SOD-323SLIM
U$136 193.68 50.80  90 1N4148WS SOD-323SLIM
U$137 184.15 31.75  90 1N4148WS SOD-323SLIM
U$139 250.65 66.67 270 1N4148WS SOD-323SLIM
U$140 269.88 12.70  90 1N4148WS SOD-323SLIM
U$141 212.73 50.80  90 1N4148WS SOD-323SLIM
U$142 203.20 31.75  90 1N4148WS SOD-323SLIM
U1 33.60 72.60   0 2MB Flash SOIC8_208MIL
U2 34.00 84.50  90 AP2112-3.3 SOT23-5@1
USB 45.00 71.50 270 SWITCH-MOMENTARY-2SMD TACTILE_SWITCH_SMD
USBJACK 15.50 90.55 180  USB-C-16P
Y1 33.40 55.00 180 12MHz RESONATOR3225
